time_window,Groundtruth Traffic Volume,Prediction Traffic Volume,Groundtruth Average Speed,Prediction Average Speed
0,9,8,5.5913373905204775,5.811818358998114
1,11,9,6.1974083554884505,7.485682916284217
2,12,9,4.989337947307983,6.969647694423932
3,14,12,3.87612637587801,5.482023983310036
4,14,11,2.8573356888568737,3.851745443647542
5,16,11,3.1098073585925996,4.623524825714419
6,15,11,3.609363880783768,5.184800829168168
7,16,15,3.830543497308069,4.926837867001901
8,14,13,4.455155176851333,4.853803111761156
9,14,12,5.496255356779622,6.103899725496186
10,12,11,4.283052617135065,4.773941120122346
